Timestamp,Domain name queried,Resolution mode,DNS server IP contacted,Step of resolution,Response or referral received,Round-trip time to that server,Total time to resolution,Cache status
1761487379.4592333,gardeninginflorida.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,147.1390724182129,,N/A
1761487379.6067817,gardeninginflorida.com,Iterative,192.41.162.30,TLD,REFERRAL to 2603:5:21d0::a,148.8959789276123,,N/A
1761487379.7558596,gardeninginflorida.com,Iterative,2603:5:21d0::a,Authoritative,ERROR: The DNS operation timed out.,,2324.711322784424,N/A
1761487381.7840416,22hotmail.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,175.50063133239746,,N/A
1761487381.9597087,22hotmail.com,Iterative,192.41.162.30,TLD,REFERRAL to 13.107.236.5,146.39830589294434,,N/A
1761487382.1064487,22hotmail.com,Iterative,13.107.236.5,Authoritative,ANSWER: 20.76.201.171,24.77550506591797,347.2769260406494,N/A
1761487382.1315734,abhair.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,140.17319679260254,,N/A
1761487382.2719004,abhair.com,Iterative,192.41.162.30,TLD,REFERRAL to ns1.tierra.net. (needs glue lookup),162.08767890930176,,N/A
1761487382.723737,abhair.com,Iterative,72.1.32.185,Authoritative,ANSWER: 23.227.38.32,336.2162113189697,928.4648895263672,N/A
1761487383.0601838,videofun.me,Iterative,198.41.0.4,Root,REFERRAL to 199.253.60.1,147.3989486694336,,N/A
1761487383.208233,videofun.me,Iterative,199.253.60.1,TLD,REFERRAL to dns2.registrar-servers.com. (needs glue lookup),39.1240119934082,,N/A
1761487383.2715042,videofun.me,Iterative,156.154.133.200,Authoritative,ERROR: All nameservers failed to answer the query dns1.registrar-servers.com.\032hostmaster.registrar-servers.com.\0321741291493\03243200\0323600\032604800\0323601. IN A: Server Do53:127.0.0.53@53 answered FORMERR,55.11140823364258,303.1189441680908,N/A
1761487383.363886,myfantasticpark.es,Iterative,198.41.0.4,Root,REFERRAL to 194.69.254.1,144.47855949401855,,N/A
1761487383.5087159,myfantasticpark.es,Iterative,194.69.254.1,TLD,REFERRAL to ns.udag.org. (needs glue lookup),187.6823902130127,,N/A
1761487384.0907836,myfantasticpark.es,Iterative,185.132.34.253,Authoritative,ANSWER: 89.31.143.90,156.4483642578125,883.4266662597656,N/A
1761487384.2474937,tripladoppia.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,155.7292938232422,,N/A
1761487384.403488,tripladoppia.com,Iterative,192.41.162.30,TLD,ERROR: All nameservers failed to answer the query a.gtld-servers.net.\032nstld.verisign-grs.com.\0321761487334\0321800\032900\032604800\032900. IN A: Server Do53:127.0.0.53@53 answered FORMERR,138.23771476745605,316.04695320129395,N/A
1761487384.5639324,gustissimo.it,Iterative,198.41.0.4,Root,REFERRAL to 194.0.16.215,141.27016067504883,,N/A
1761487384.7056553,gustissimo.it,Iterative,194.0.16.215,TLD,REFERRAL to 178.255.74.3,171.44346237182617,,N/A
1761487384.877557,gustissimo.it,Iterative,178.255.74.3,Authoritative,ANSWER: 178.255.74.133,156.80766105651855,470.51525115966797,N/A
1761487385.0348547,itgeorgia.co,Iterative,198.41.0.4,Root,REFERRAL to 212.18.248.57,155.8091640472412,,N/A
1761487385.191221,itgeorgia.co,Iterative,212.18.248.57,TLD,REFERRAL to dns1.name-services.com. (needs glue lookup),117.97142028808594,,N/A
1761487385.3307173,itgeorgia.co,Iterative,64.98.148.137,Authoritative,ANSWER: 64.98.135.85,289.39151763916016,585.3354930877686,N/A
1761487385.6204123,ngoanhien.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,145.45607566833496,,N/A
1761487385.766078,ngoanhien.com,Iterative,192.41.162.30,TLD,ERROR: All nameservers failed to answer the query a.gtld-servers.net.\032nstld.verisign-grs.com.\0321761487349\0321800\032900\032604800\032900. IN A: Server Do53:127.0.0.53@53 answered FORMERR,142.4691677093506,315.11950492858887,N/A
1761487385.935701,contentremarketing.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,163.65456581115723,,N/A
1761487386.0995681,contentremarketing.com,Iterative,192.41.162.30,TLD,REFERRAL to 69.20.95.4,158.4911346435547,,N/A
1761487386.2582567,contentremarketing.com,Iterative,69.20.95.4,Authoritative,ANSWER: 216.10.240.70,312.17074394226074,634.803056716919,N/A
1761487386.570657,iointegrators.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,161.93556785583496,,N/A
1761487386.7328248,iointegrators.com,Iterative,192.41.162.30,TLD,REFERRAL to 156.154.132.100,157.47451782226562,,N/A
1761487386.8906007,iointegrators.com,Iterative,156.154.132.100,Authoritative,ANSWER: 76.120.251.25,51.64504051208496,371.66666984558105,N/A
1761487386.9424422,vinayaprabha.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,145.1590061187744,,N/A
1761487387.0877848,vinayaprabha.com,Iterative,192.41.162.30,TLD,REFERRAL to ns5.wixdns.net. (needs glue lookup),138.81659507751465,,N/A
1761487387.2464142,vinayaprabha.com,Iterative,216.239.38.101,Authoritative,ANSWER: 185.230.63.107,17.760276794433594,321.7916488647461,N/A
1761487387.2643704,auto-klad.ru,Iterative,198.41.0.4,Root,REFERRAL to 193.232.128.6,138.45181465148926,,N/A
1761487387.403043,auto-klad.ru,Iterative,193.232.128.6,TLD,REFERRAL to ns3.salenames.RU. (needs glue lookup),209.79738235473633,,N/A
1761487388.2134745,auto-klad.ru,Iterative,37.221.193.103,Authoritative,ANSWER: 62.122.170.171,166.86415672302246,1116.0304546356201,N/A
1761487388.380607,sapendolo.it,Iterative,198.41.0.4,Root,REFERRAL to 194.0.16.215,144.6225643157959,,N/A
1761487388.5254714,sapendolo.it,Iterative,194.0.16.215,TLD,ERROR: The DNS query name does not exist: ns1.match.it.,173.4156608581543,341.1693572998047,N/A
1761487388.7219067,ana-sofia.pt,Iterative,198.41.0.4,Root,REFERRAL to 185.39.208.1,144.17481422424316,,N/A
1761487388.8662636,ana-sofia.pt,Iterative,185.39.208.1,TLD,REFERRAL to ns2.ptservidor.net. (needs glue lookup),194.71979141235352,,N/A
1761487389.4462802,ana-sofia.pt,Iterative,46.105.37.1,Authoritative,ANSWER: 185.32.190.38,169.53110694885254,893.956184387207,N/A
1761487389.6160686,daytimeghosthunter.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,146.1930274963379,,N/A
1761487389.7624342,daytimeghosthunter.com,Iterative,192.41.162.30,TLD,ERROR: All nameservers failed to answer the query a.gtld-servers.net.\032nstld.verisign-grs.com.\0321761487334\0321800\032900\032604800\032900. IN A: Server Do53:127.0.0.53@53 answered FORMERR,180.81331253051758,345.3257083892822,N/A
1761487389.961571,breezelaw.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,141.41392707824707,,N/A
1761487390.1032052,breezelaw.com,Iterative,192.41.162.30,TLD,REFERRAL to 2603:5:2126::45,155.70878982543945,,N/A
1761487390.2590876,breezelaw.com,Iterative,2603:5:2126::45,Authoritative,ERROR: The DNS operation timed out.,,2306.433916091919,N/A
1761487392.2682176,ranocchi.it,Iterative,198.41.0.4,Root,REFERRAL to 194.0.16.215,154.62970733642578,,N/A
1761487392.423164,ranocchi.it,Iterative,194.0.16.215,TLD,REFERRAL to 195.7.227.1,171.5242862701416,,N/A
1761487392.5949128,ranocchi.it,Iterative,195.7.227.1,Authoritative,ANSWER: 52.18.99.110,168.63036155700684,495.4192638397217,N/A
1761487392.7637408,sitiweb.us,Iterative,198.41.0.4,Root,REFERRAL to 204.74.105.1,143.79477500915527,,N/A
1761487392.9076881,sitiweb.us,Iterative,204.74.105.1,TLD,REFERRAL to ns.supporthost.com. (needs glue lookup),43.196916580200195,,N/A
1761487392.979615,sitiweb.us,Iterative,45.56.108.11,Authoritative,ANSWER: 136.243.45.246,256.44659996032715,472.3823070526123,N/A
1761487393.2362835,saharaimport.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,139.7252082824707,,N/A
1761487393.3762486,saharaimport.com,Iterative,192.41.162.30,TLD,REFERRAL to 95.217.232.23,152.45628356933594,,N/A
1761487393.5291438,saharaimport.com,Iterative,95.217.232.23,Authoritative,ANSWER: 176.9.116.24,186.88082695007324,479.809045791626,N/A
1761492575.2919514,hackthissite.org,Iterative,198.41.0.4,Root,REFERRAL to 199.249.112.1,586.4388942718506,,N/A
1761492575.2914226,viahttps.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,615.6213283538818,,N/A
1761492575.2933075,videofun.me,Iterative,198.41.0.4,Root,REFERRAL to 199.253.60.1,603.0397415161133,,N/A
1761492575.283375,go2jump.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,615.5195236206055,,N/A
1761492575.2947896,capequilog.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,606.0998439788818,,N/A
1761492575.2962246,miscellaneousheathen.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,606.2345504760742,,N/A
1761492575.287426,overseasmedical.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,615.633487701416,,N/A
1761492575.2848053,skplus.kr,Iterative,198.41.0.4,Root,REFERRAL to 210.101.61.1,618.3176040649414,,N/A
1761492575.2859359,supportpabiomass.org,Iterative,198.41.0.4,Root,REFERRAL to 199.249.112.1,619.1985607147217,,N/A
1761492575.288066,c0.pl,Iterative,198.41.0.4,Root,REFERRAL to 194.0.25.29,594.0425395965576,,N/A
1761492575.2970996,ilikecrochet.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,613.1479740142822,,N/A
1761492575.28927,tripladoppia.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,624.1335868835449,,N/A
1761492575.2854364,thepropertyvault.co.uk,Iterative,198.41.0.4,Root,REFERRAL to 213.248.216.1,631.049633026123,,N/A
1761492575.2937872,gustissimo.it,Iterative,198.41.0.4,Root,REFERRAL to 194.0.16.215,623.197078704834,,N/A
1761492575.2953312,b2b2c.ca,Iterative,198.41.0.4,Root,REFERRAL to 45.142.220.101,621.7401027679443,,N/A
1761492575.2862,celerity.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,635.603666305542,,N/A
1761492575.2943456,rubenquinones.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,631.8695545196533,,N/A
1761492575.287154,rolflouisville.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,643.6960697174072,,N/A
1761492575.2927473,saharaimport.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,638.3459568023682,,N/A
1761492575.284364,sipflash.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,649.43528175354,,N/A
1761492575.2850854,gaplex.biz,Iterative,198.41.0.4,Root,REFERRAL to 156.154.125.65,649.202823638916,,N/A
1761492575.2866623,sweathelp.org,Iterative,198.41.0.4,Root,REFERRAL to 199.249.112.1,647.2277641296387,,N/A
1761492575.9429147,c0.pl,Iterative,194.0.25.29,TLD,REFERRAL to 95.211.144.65,44.25382614135742,,N/A
1761492575.9350252,videofun.me,Iterative,199.253.60.1,TLD,REFERRAL to dns2.registrar-servers.com. (needs glue lookup),52.94370651245117,,N/A
1761492575.9523778,gaplex.biz,Iterative,156.154.125.65,TLD,ERROR: All nameservers failed to answer the query a.gtld.biz.\032admin.tldns.godaddy.\0321761491873\0321800\032300\032604800\0321800. IN A: Server Do53:127.0.0.53@53 answered FORMERR,78.31859588623047,767.977237701416,N/A
1761492575.9413621,supportpabiomass.org,Iterative,199.249.112.1,TLD,REFERRAL to ns5.plothost.com. (needs glue lookup),87.60309219360352,,N/A
1761492575.9343631,viahttps.com,Iterative,192.41.162.30,TLD,REFERRAL to 2600:1700:5230:a190:64:251:0:50,139.76073265075684,,N/A
1761492575.9528673,sweathelp.org,Iterative,199.249.112.1,TLD,REFERRAL to ns49.domaincontrol.com. (needs glue lookup),105.4685115814209,,N/A
1761492575.9377995,miscellaneousheathen.com,Iterative,192.41.162.30,TLD,REFERRAL to 2600:14c0:6::2,156.13818168640137,,N/A
1761492575.9380572,overseasmedical.com,Iterative,192.41.162.30,TLD,REFERRAL to 167.99.46.58,159.53969955444336,,N/A
1761492576.0100214,videofun.me,Iterative,156.154.133.200,Authoritative,ERROR: All nameservers failed to answer the query dns1.registrar-servers.com.\032hostmaster.registrar-servers.com.\0321741291493\03243200\0323600\032604800\0323601. IN A: Server Do53:127.0.0.53@53 answered FORMERR,58.90488624572754,813.0691051483154,N/A
1761492575.9442754,ilikecrochet.com,Iterative,192.41.162.30,TLD,REFERRAL to 205.251.192.252,164.66116905212402,,N/A
1761492575.9354415,go2jump.com,Iterative,192.41.162.30,TLD,REFERRAL to ns1.siteground.net. (needs glue lookup),145.87998390197754,,N/A
1761492575.9497886,celerity.com,Iterative,192.41.162.30,TLD,REFERRAL to 208.80.124.2,180.59587478637695,,N/A
1761492575.9514828,saharaimport.com,Iterative,192.41.162.30,TLD,REFERRAL to 95.217.232.23,186.4001750946045,,N/A
1761492575.951257,rolflouisville.com,Iterative,192.41.162.30,TLD,REFERRAL to 172.64.52.106,189.26143646240234,,N/A
1761492575.950736,rubenquinones.com,Iterative,192.41.162.30,TLD,REFERRAL to 2603:5:21b2::1c,192.66533851623535,,N/A
1761492575.9873006,c0.pl,Iterative,95.211.144.65,Authoritative,ANSWER: 95.211.144.68,177.90508270263672,877.321720123291,N/A
1761492575.9481666,gustissimo.it,Iterative,194.0.16.215,TLD,REFERRAL to 178.255.74.3,220.26801109313965,,N/A
1761492575.951736,sipflash.com,Iterative,192.41.162.30,TLD,REFERRAL to ns1.as13445.net. (needs glue lookup),181.02312088012695,,N/A
1761492576.1105425,ilikecrochet.com,Iterative,205.251.192.252,Authoritative,ANSWER: 192.124.249.58,65.42038917541504,879.4889450073242,N/A
1761492575.947316,thepropertyvault.co.uk,Iterative,213.248.216.1,TLD,REFERRAL to ns49.domaincontrol.com. (needs glue lookup),184.61084365844727,,N/A
1761492575.9365904,capequilog.com,Iterative,192.41.162.30,TLD,REFERRAL to ns.bos1.gridfury.net. (needs glue lookup),166.82028770446777,,N/A
1761492576.112134,go2jump.com,Iterative,75.2.77.104,Authoritative,ANSWER: 34.175.54.178,88.8969898223877,918.2710647583008,N/A
1761492575.9445026,tripladoppia.com,Iterative,192.41.162.30,TLD,ERROR: All nameservers failed to answer the query a.gtld-servers.net.\032nstld.verisign-grs.com.\0321761492524\0321800\032900\032604800\032900. IN A: Server Do53:127.0.0.53@53 answered FORMERR,160.49480438232422,914.0479564666748,N/A
1761492576.0532024,closerdiets.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,155.78532218933105,,N/A
1761492575.9491389,b2b2c.ca,Iterative,45.142.220.101,TLD,REFERRAL to ns.cidc.net. (needs glue lookup),224.08485412597656,,N/A
1761492576.1330178,celerity.com,Iterative,208.80.124.2,Authoritative,ANSWER: 35.188.214.201,105.2696704864502,952.1560668945312,N/A
1761492576.0824735,sweathelp.org,Iterative,97.74.104.25,Authoritative,ANSWER: 107.180.114.231,173.19250106811523,969.2187309265137,N/A
1761492576.1129808,iointegrators.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,154.08015251159668,,N/A
1761492576.109109,overseasmedical.com,Iterative,167.99.46.58,Authoritative,ANSWER: 213.123.239.55,168.0736541748047,989.8197650909424,N/A
1761492575.940095,skplus.kr,Iterative,210.101.61.1,TLD,ERROR: All nameservers failed to answer the query g.dns.kr.\032domain-manager.nic.or.kr.\0322510260716\0323600\032900\032604800\032900. IN A: Server Do53:127.0.0.53@53 answered FORMERR,313.0970001220703,1001.1022090911865,N/A
1761492576.1764467,sipflash.com,Iterative,66.163.52.1,Authoritative,ERROR: All nameservers failed to answer the query hns001.sjc03.webex.com.\032bce-sys.broadsoft.com.\0322016110350\03210800\0321800\0322419200\032120. IN A: Server Do53:127.0.0.53@53 answered FORMERR,49.56841468811035,1002.1471977233887,N/A
1761492576.1659935,djbarryblends.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,148.53334426879883,,N/A
1761492575.9069655,hackthissite.org,Iterative,199.249.112.1,TLD,REFERRAL to h.ns.buddyns.com. (needs glue lookup),101.55296325683594,,N/A
1761492576.1382344,saharaimport.com,Iterative,95.217.232.23,Authoritative,ANSWER: 176.9.116.24,208.31704139709473,1053.8647174835205,N/A
1761492576.1693635,gustissimo.it,Iterative,178.255.74.3,Authoritative,ANSWER: 178.255.74.104,186.03134155273438,1061.690330505371,N/A
1761492576.2020075,livescan4all.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,180.09567260742188,,N/A
1761492576.0596304,supportpabiomass.org,Iterative,162.248.51.100,Authoritative,ANSWER: 162.248.51.100,323.7736225128174,1097.6252555847168,N/A
1761492576.1804497,thepropertyvault.co.uk,Iterative,97.74.104.25,Authoritative,ANSWER: 76.223.67.189,217.6055908203125,1112.7228736877441,N/A
1761492576.2101114,closerdiets.com,Iterative,192.41.162.30,TLD,REFERRAL to 193.227.117.9,188.14778327941895,,N/A
