Timestamp,Domain name queried,Resolution mode,DNS server IP contacted,Step of resolution,Response or referral received,Round-trip time to that server,Total time to resolution,Cache status
1761487416.2240891,tuhafhaberler.com,Recursive,,N/A (Recursive),ERROR: All nameservers failed to answer the query tuhafhaberler.com. IN A: Server Do53:127.0.0.53@53 answered SERVFAIL,,2040.7791137695312,N/A
1761487418.2651467,41latitude.com,Recursive,,N/A (Recursive),ERROR: The DNS response does not contain an answer to the question: 41latitude.com. IN A,,1682.6255321502686,N/A
1761487419.9480674,us.tf,Recursive,,N/A (Recursive),ERROR: All nameservers failed to answer the query us.tf. IN A: Server Do53:127.0.0.53@53 answered SERVFAIL,,2015.4924392700195,N/A
1761487421.9637303,tottenhamhk.com,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: tottenhamhk.com.,,25.688886642456055,N/A
1761487421.9897256,running-sigi.de,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: running-sigi.de.,,176.90253257751465,N/A
1761487422.1670313,energybulbs.co.uk,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 23.227.38.32,365.04554748535156,365.22436141967773,N/A
1761487422.5324805,o-ov.com,Recursive,,N/A (Recursive),ERROR: All nameservers failed to answer the query o-ov.com. IN A: Server Do53:127.0.0.53@53 answered SERVFAIL,,215.01541137695312,N/A
1761487422.7478988,ex-jw.org,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 185.230.63.171,20.820140838623047,21.04949951171875,N/A
1761487422.769349,i-butterfly.ru,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 172.67.151.138,9.42540168762207,9.84644889831543,N/A
1761487422.7793567,datepanchang.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 13.75.93.156,19.283056259155273,19.434690475463867,N/A
1761487422.7989104,zzxu.cn,Recursive,,N/A (Recursive),ERROR: The DNS response does not contain an answer to the question: zzxu.cn. IN A,,8.629560470581055,N/A
1761487422.807692,daehepharma.com,Recursive,,N/A (Recursive),ERROR: The DNS response does not contain an answer to the question: daehepharma.com. IN A,,10.0555419921875,N/A
1761487422.8178778,localhost.re,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 104.21.50.127,6.293535232543945,6.40559196472168,N/A
1761487422.8244455,rtsab.com,Recursive,,N/A (Recursive),ERROR: The DNS response does not contain an answer to the question: rtsab.com. IN A,,9.235620498657227,N/A
1761487422.833786,pbprofile.com,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: pbprofile.com.,,5.041837692260742,N/A
1761487422.8389251,informarexresistere.fr,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 178.32.143.165,7.531642913818359,7.628679275512695,N/A
1761487422.8467042,fini.net,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 198.57.192.137,6.382942199707031,6.522893905639648,N/A
1761487422.8534038,globalpoliticalspectrum.com,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: globalpoliticalspectrum.com.,,6.923198699951172,N/A
1761487422.8606544,lozo.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 107.21.144.47,29.871463775634766,30.011653900146484,N/A
1761487422.8908021,buynowfromusa.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 35.223.118.1,10.327339172363281,10.470390319824219,N/A
1761492713.101614,caricsports.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 172.67.216.98,66.5900707244873,66.71929359436035,N/A
1761492713.099921,sdccdonline.net,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 209.129.16.41,69.82541084289551,70.03569602966309,N/A
1761492713.0988793,running-sigi.de,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: running-sigi.de.,,74.08976554870605,N/A
1761492713.12296,asadventure.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 143.204.55.107,56.96678161621094,57.18803405761719,N/A
1761492713.1118493,dj-producer-j-mbargo.com,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: dj-producer-j-mbargo.com.,,63.45200538635254,N/A
1761492713.1337287,aqvr.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 89.117.19.57,46.44203186035156,46.76938056945801,N/A
1761492713.1356938,progettogiovani.pd.it,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 185.213.115.40,53.13730239868164,53.479671478271484,N/A
1761492713.119594,tuhafhaberler.com,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: tuhafhaberler.com.,,69.9460506439209,N/A
1761492713.0948284,eugenbotnar.com,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: eugenbotnar.com.,,96.10533714294434,N/A
1761492713.0965137,pictures-thailand.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 66.96.149.1,93.74165534973145,93.93000602722168,N/A
1761492713.146254,group14eng.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 192.124.249.164,40.12560844421387,45.322418212890625,N/A
1761492713.1089253,gusbi.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 185.145.195.19,87.59164810180664,88.01102638244629,N/A
1761492713.1444683,michiganbulb.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 208.27.142.168,52.73938179016113,54.77499961853027,N/A
1761492713.1314373,alenpuaca.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 67.205.28.253,56.870222091674805,69.11563873291016,N/A
1761492713.1266303,autofirenze.biz,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 89.46.109.17,74.89895820617676,76.49040222167969,N/A
1761492713.1374261,monsterhomesecuritystore.com,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: monsterhomesecuritystore.com.,,64.88776206970215,N/A
1761492713.1293244,toaskfuture.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 119.18.54.195,77.95190811157227,78.07540893554688,N/A
1761492713.114104,healthnews4you.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 3.33.130.190,101.69219970703125,101.81832313537598,N/A
1761492713.2462132,camcard.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 184.169.209.203,59.36622619628906,59.569597244262695,N/A
1761492713.141242,mysearch-online.com,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: mysearch-online.com.,,167.30213165283203,N/A
1761492713.2409458,amorefieldlife.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 162.241.226.124,68.96066665649414,69.38958168029785,N/A
1761492713.219174,b-matrix.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 137.135.108.176,94.62356567382812,94.83814239501953,N/A
1761492713.214022,radioterminal.ru,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 188.225.40.161,93.76001358032227,101.53651237487793,N/A
1761492713.2072778,blueridgelife.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 192.124.249.6,108.50000381469727,109.4365119934082,N/A
1761492713.1980598,newstetic.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 104.21.3.241,119.40693855285645,119.5988655090332,N/A
1761492713.2222857,datepanchang.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 13.75.93.156,95.15690803527832,95.43752670288086,N/A
1761492713.2230418,probigbets.com,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: probigbets.com.,,95.3986644744873,N/A
1761492713.2139623,simternet.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 3.33.251.168,115.33427238464355,124.8166561126709,N/A
1761492713.1498952,tottenhamhk.com,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: tottenhamhk.com.,,168.69783401489258,N/A
1761492713.224089,astrumonline.ru,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 217.69.136.59,96.98224067687988,97.06854820251465,N/A
1761492713.2122097,daehepharma.com,Recursive,,N/A (Recursive),ERROR: The DNS response does not contain an answer to the question: daehepharma.com. IN A,,110.02779006958008,N/A
