Timestamp,Domain name queried,Resolution mode,DNS server IP contacted,Step of resolution,Response or referral received,Round-trip time to that server,Total time to resolution,Cache status
1761487515.927587,brown.edu,Iterative,198.41.0.4,Root,REFERRAL to 192.31.80.30,142.61555671691895,,MISS
1761487516.0704474,brown.edu,Iterative,192.31.80.30,TLD,ERROR: The DNS operation timed out.,,2186.286211013794,MISS
1761487518.1142375,tsksv.ru,Iterative,198.41.0.4,Root,REFERRAL to 193.232.128.6,143.83840560913086,,MISS
1761487518.258519,tsksv.ru,Iterative,193.232.128.6,TLD,REFERRAL to 85.193.93.85,232.2545051574707,,MISS
1761487518.4910522,tsksv.ru,Iterative,85.193.93.85,Authoritative,ANSWER: 91.199.149.117,198.00686836242676,574.9187469482422,MISS
1761487518.6893268,datadikdki.net,Iterative,198.41.0.4,Root,REFERRAL to 192.55.83.30,143.7511444091797,,MISS
1761487518.8333485,datadikdki.net,Iterative,192.55.83.30,TLD,REFERRAL to sky.ns.cloudflare.com. (needs glue lookup),159.34109687805176,,MISS
1761487519.0211554,datadikdki.net,Iterative,108.162.194.2,Authoritative,ANSWER: 172.67.171.27,58.97784233093262,390.8839225769043,MISS
1761487519.0810587,ticketbis.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,153.95832061767578,,MISS
1761487519.2352734,ticketbis.com,Iterative,192.41.162.30,TLD,REFERRAL to 149.112.160.1,145.5390453338623,,MISS
1761487519.3813612,ticketbis.com,Iterative,149.112.160.1,Authoritative,ERROR: All nameservers failed to answer the query ns1.markmonitor.com.\032hostmaster.markmonitor.com.\0322025100304\03286400\0323600\0322592000\032172800. IN A: Server Do53:127.0.0.53@53 answered FORMERR,83.54759216308594,428.28989028930664,MISS
1761487519.5097516,jabeye.org,Iterative,198.41.0.4,Root,REFERRAL to 199.249.112.1,149.5969295501709,,MISS
1761487519.6603463,jabeye.org,Iterative,199.249.112.1,TLD,REFERRAL to ns1.dreamhost.com. (needs glue lookup),101.78971290588379,,MISS
1761487519.7797515,jabeye.org,Iterative,162.159.26.14,Authoritative,ANSWER: 173.236.216.220,327.5566101074219,597.6665019989014,MISS
1761487520.1104758,cellularfactory.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,144.06752586364746,,MISS
1761487520.2554216,cellularfactory.com,Iterative,192.41.162.30,TLD,REFERRAL to 162.159.26.132,155.67398071289062,,MISS
1761487520.4118035,cellularfactory.com,Iterative,162.159.26.132,Authoritative,ANSWER: 208.91.197.27,52.49524116516113,354.72822189331055,MISS
1761487520.4647186,newpages2u.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,164.68048095703125,,MISS
1761487520.6297815,newpages2u.com,Iterative,192.41.162.30,TLD,REFERRAL to ns9.newpages.com.my. (needs glue lookup),144.35267448425293,,MISS
1761487520.7868009,newpages2u.com,Iterative,110.74.174.131,Authoritative,ANSWER: 110.74.174.131,82.3354721069336,404.555082321167,MISS
1761487520.869389,gaybodyblog.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,146.1033821105957,,MISS
1761487521.0167446,gaybodyblog.com,Iterative,192.41.162.30,TLD,REFERRAL to 108.162.193.132,145.93029022216797,,MISS
1761487521.164094,gaybodyblog.com,Iterative,108.162.193.132,Authoritative,ANSWER: 148.72.167.158,40.66014289855957,335.437536239624,MISS
1761487521.205762,simple-health-reports.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,145.82061767578125,,MISS
1761487521.3526344,simple-health-reports.com,Iterative,192.41.162.30,TLD,ERROR: All nameservers failed to answer the query a.gtld-servers.net.\032nstld.verisign-grs.com.\0321761487469\0321800\032900\032604800\032900. IN A: Server Do53:127.0.0.53@53 answered FORMERR,148.3590602874756,329.6816349029541,MISS
1761487521.5363266,likeminded.ca,Iterative,198.41.0.4,Root,REFERRAL to 45.142.220.101,148.3783721923828,,MISS
1761487521.6857288,likeminded.ca,Iterative,45.142.220.101,TLD,REFERRAL to 51.222.139.240,186.0668659210205,,MISS
1761487521.8729684,likeminded.ca,Iterative,51.222.139.240,Authoritative,ANSWER: 198.100.154.154,252.7322769165039,589.5493030548096,MISS
1761487522.1303132,seedy.dk,Iterative,198.41.0.4,Root,REFERRAL to 193.163.102.222,170.3488826751709,,MISS
1761487522.301095,seedy.dk,Iterative,193.163.102.222,TLD,ERROR: The DNS operation timed out.,,2189.720869064331,MISS
1761487524.316579,51cdngo.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,163.43069076538086,,MISS
1761487524.4804788,51cdngo.com,Iterative,192.41.162.30,TLD,REFERRAL to ns1.dnsinside.net. (needs glue lookup),189.8324489593506,,MISS
